selectivity_pct,bucket_lt,iterative_scan,ef_search,planner_default,recall_mean,rows_returned_mean,p50_ms,p95_ms,truth_rows_mean,n_queries
100.0,1000,off,40,hnsw,0.98,10.0,2.48,3.2,10.0,200
100.0,1000,off,100,hnsw,0.997,10.0,3.46,4.31,10.0,200
100.0,1000,off,400,hnsw,0.9995,10.0,7.29,9.19,10.0,200
100.0,1000,relaxed_order,40,hnsw,0.98,10.0,2.82,4.2,10.0,200
100.0,1000,relaxed_order,100,hnsw,0.997,10.0,3.86,4.98,10.0,200
100.0,1000,relaxed_order,400,hnsw,0.9995,10.0,8.47,11.13,10.0,200
100.0,1000,strict_order,40,hnsw,0.98,10.0,2.62,3.24,10.0,200
100.0,1000,strict_order,100,hnsw,0.997,10.0,3.78,4.76,10.0,200
100.0,1000,strict_order,400,hnsw,0.9995,10.0,8.77,11.83,10.0,200
50.0,500,off,40,hnsw,0.9695,10.0,2.17,2.72,10.0,200
50.0,500,off,100,hnsw,0.9925,10.0,3.13,4.14,10.0,200
50.0,500,off,400,hnsw,0.9995,10.0,6.6,8.46,10.0,200
50.0,500,relaxed_order,40,hnsw,0.9695,10.0,2.39,3.02,10.0,200
50.0,500,relaxed_order,100,hnsw,0.9925,10.0,3.66,4.77,10.0,200
50.0,500,relaxed_order,400,hnsw,0.9995,10.0,8.02,11.48,10.0,200
50.0,500,strict_order,40,hnsw,0.9695,10.0,2.86,3.56,10.0,200
50.0,500,strict_order,100,hnsw,0.9925,10.0,3.97,5.72,10.0,200
50.0,500,strict_order,400,hnsw,0.9995,10.0,9.11,12.43,10.0,200
10.0,100,off,40,hnsw,0.3975,3.98,2.91,3.6,10.0,200
10.0,100,off,100,hnsw,0.8755,8.84,3.88,5.41,10.0,200
10.0,100,off,400,hnsw,0.9995,10.0,7.01,9.57,10.0,200
10.0,100,relaxed_order,40,hnsw,0.98,10.0,4.83,7.01,10.0,200
10.0,100,relaxed_order,100,hnsw,0.988,10.0,4.72,7.7,10.0,200
10.0,100,relaxed_order,400,hnsw,0.9995,10.0,9.54,12.97,10.0,200
10.0,100,strict_order,40,hnsw,0.95,10.0,4.69,7.33,10.0,200
10.0,100,strict_order,100,hnsw,0.976,10.0,4.61,7.5,10.0,200
10.0,100,strict_order,400,hnsw,0.9995,10.0,7.88,10.37,10.0,200
1.0,10,off,40,hnsw,0.0455,0.46,2.43,3.24,10.0,200
1.0,10,off,100,hnsw,0.1115,1.11,4.2,5.41,10.0,200
1.0,10,off,400,hnsw,0.4065,4.07,8.48,11.28,10.0,200
1.0,10,relaxed_order,40,hnsw,0.998,10.0,18.7,29.13,10.0,200
1.0,10,relaxed_order,100,hnsw,0.998,10.0,19.04,29.09,10.0,200
1.0,10,relaxed_order,400,hnsw,0.9985,10.0,19.47,31.85,10.0,200
1.0,10,strict_order,40,hnsw,0.984,10.0,18.53,27.9,10.0,200
1.0,10,strict_order,100,hnsw,0.9845,10.0,18.36,30.35,10.0,200
1.0,10,strict_order,400,hnsw,0.993,10.0,19.2,29.29,10.0,200
0.1,1,off,40,seqscan,0.004,0.04,2.63,3.41,10.0,200
0.1,1,off,100,seqscan,0.0085,0.09,3.93,4.73,10.0,200
0.1,1,off,400,seqscan,0.0335,0.34,7.71,9.46,10.0,200
0.1,1,relaxed_order,40,seqscan,0.975,10.0,67.5,88.05,10.0,200
0.1,1,relaxed_order,100,seqscan,0.9745,10.0,62.36,76.58,10.0,200
0.1,1,relaxed_order,400,seqscan,0.9765,10.0,61.73,74.49,10.0,200
0.1,1,strict_order,40,seqscan,0.9715,10.0,61.44,75.96,10.0,200
0.1,1,strict_order,100,seqscan,0.9715,10.0,62.05,77.97,10.0,200
0.1,1,strict_order,400,seqscan,0.9745,10.0,62.57,77.35,10.0,200
