selectivity_pct,bucket_lt,iterative_scan,ef_search,planner_default,recall_mean,rows_returned_mean,p50_ms,p95_ms,truth_rows_mean,n_queries
100.0,1000,off,40,hnsw,0.945,10.0,5.66,8.83,10.0,200
100.0,1000,off,100,hnsw,0.988,10.0,6.33,7.69,10.0,200
100.0,1000,off,400,hnsw,0.9985,10.0,14.0,19.36,10.0,200
100.0,1000,relaxed_order,40,hnsw,0.945,10.0,3.9,4.66,10.0,200
100.0,1000,relaxed_order,100,hnsw,0.988,10.0,6.33,7.71,10.0,200
100.0,1000,relaxed_order,400,hnsw,0.9985,10.0,16.06,19.98,10.0,200
100.0,1000,strict_order,40,hnsw,0.945,10.0,3.85,4.74,10.0,200
100.0,1000,strict_order,100,hnsw,0.988,10.0,6.36,7.93,10.0,200
100.0,1000,strict_order,400,hnsw,0.9985,10.0,15.47,19.61,10.0,200
50.0,500,off,40,hnsw,0.9275,10.0,5.25,8.86,10.0,200
50.0,500,off,100,hnsw,0.9805,10.0,8.17,12.42,10.0,200
50.0,500,off,400,hnsw,0.9985,10.0,13.56,17.16,10.0,200
50.0,500,relaxed_order,40,hnsw,0.9275,10.0,3.8,4.53,10.0,200
50.0,500,relaxed_order,100,hnsw,0.9805,10.0,5.98,7.48,10.0,200
50.0,500,relaxed_order,400,hnsw,0.9985,10.0,15.03,18.55,10.0,200
50.0,500,strict_order,40,hnsw,0.9275,10.0,3.79,4.68,10.0,200
50.0,500,strict_order,100,hnsw,0.9805,10.0,6.44,8.96,10.0,200
50.0,500,strict_order,400,hnsw,0.9985,10.0,15.5,22.11,10.0,200
10.0,100,off,40,hnsw,0.4055,4.06,6.24,9.67,10.0,200
10.0,100,off,100,hnsw,0.8525,8.75,6.44,11.97,10.0,200
10.0,100,off,400,hnsw,0.996,10.0,12.52,15.29,10.0,200
10.0,100,relaxed_order,40,hnsw,0.9555,10.0,6.32,9.34,10.0,200
10.0,100,relaxed_order,100,hnsw,0.9655,10.0,7.53,13.07,10.0,200
10.0,100,relaxed_order,400,hnsw,0.996,10.0,15.27,20.0,10.0,200
10.0,100,strict_order,40,hnsw,0.8985,10.0,6.9,10.14,10.0,200
10.0,100,strict_order,100,hnsw,0.9415,10.0,7.4,13.45,10.0,200
10.0,100,strict_order,400,hnsw,0.996,10.0,14.8,18.97,10.0,200
1.0,10,off,40,hnsw,0.0405,0.41,6.17,10.58,10.0,200
1.0,10,off,100,hnsw,0.1015,1.01,7.15,9.91,10.0,200
1.0,10,off,400,hnsw,0.407,4.07,16.28,21.17,10.0,200
1.0,10,relaxed_order,40,hnsw,0.993,10.0,34.71,57.61,10.0,200
1.0,10,relaxed_order,100,hnsw,0.9935,10.0,33.2,53.31,10.0,200
1.0,10,relaxed_order,400,hnsw,0.9975,10.0,35.35,53.87,10.0,200
1.0,10,strict_order,40,hnsw,0.9585,10.0,35.85,57.72,10.0,200
1.0,10,strict_order,100,hnsw,0.969,10.0,34.45,52.17,10.0,200
1.0,10,strict_order,400,hnsw,0.981,10.0,34.78,53.3,10.0,200
0.1,1,off,40,hnsw,0.0055,0.06,4.96,6.01,10.0,200
0.1,1,off,100,hnsw,0.0115,0.12,6.18,7.25,10.0,200
0.1,1,off,400,hnsw,0.0445,0.45,13.94,16.82,10.0,200
0.1,1,relaxed_order,40,hnsw,0.8475,10.0,100.97,138.26,10.0,200
0.1,1,relaxed_order,100,hnsw,0.8505,10.0,102.33,140.38,10.0,200
0.1,1,relaxed_order,400,hnsw,0.866,10.0,103.11,133.03,10.0,200
0.1,1,strict_order,40,hnsw,0.8415,10.0,99.95,136.62,10.0,200
0.1,1,strict_order,100,hnsw,0.8455,10.0,104.69,138.26,10.0,200
0.1,1,strict_order,400,hnsw,0.8635,10.0,101.49,129.83,10.0,200
