layout,arm,selectivity_pct,config,plan,recall_mean,rows_returned_mean,p50_ms,n_queries
uniform,near,0.1,planner_free,bitmap+sort,1.0,10.0,25.45,50
uniform,near,0.1,hnsw_recipe,btree+sort,1.0,10.0,24.43,50
uniform,near,1.0,planner_free,hnsw,0.998,10.0,113.75,50
uniform,near,1.0,hnsw_recipe,hnsw,0.998,10.0,63.81,50
uniform,near,10.0,planner_free,hnsw,0.952,10.0,32.41,50
uniform,near,10.0,hnsw_recipe,hnsw,0.952,10.0,22.5,50
uniform,far,0.1,planner_free,bitmap+sort,1.0,10.0,11.95,50
uniform,far,0.1,hnsw_recipe,btree+sort,1.0,10.0,12.2,50
uniform,far,1.0,planner_free,hnsw,0.998,10.0,41.25,50
uniform,far,1.0,hnsw_recipe,hnsw,0.998,10.0,35.42,50
uniform,far,10.0,planner_free,hnsw,0.994,10.0,8.35,50
uniform,far,10.0,hnsw_recipe,hnsw,0.994,10.0,12.91,50
correlated,near,0.1,planner_free,bitmap+sort,1.0,10.0,9.76,50
correlated,near,0.1,hnsw_recipe,btree+sort,1.0,10.0,8.23,50
correlated,near,1.0,planner_free,hnsw,0.932,10.0,21.6,50
correlated,near,1.0,hnsw_recipe,hnsw,0.932,10.0,12.81,50
correlated,near,10.0,planner_free,hnsw,0.948,10.0,5.37,50
correlated,near,10.0,hnsw_recipe,hnsw,0.948,10.0,8.0,50
correlated,far,0.1,planner_free,bitmap+sort,1.0,10.0,12.5,50
correlated,far,0.1,hnsw_recipe,btree+sort,1.0,10.0,6.1,50
correlated,far,1.0,planner_free,hnsw,0.0,0.0,1356.64,50
correlated,far,1.0,hnsw_recipe,hnsw,0.0,0.0,1312.96,50
correlated,far,10.0,planner_free,hnsw,0.0,0.0,1290.52,50
correlated,far,10.0,hnsw_recipe,hnsw,0.0,0.0,1278.57,50
multicluster,near,0.1,planner_free,bitmap+sort,1.0,10.0,6.34,50
multicluster,near,0.1,hnsw_recipe,btree+sort,1.0,10.0,6.58,50
multicluster,near,1.0,planner_free,hnsw,0.99,10.0,13.12,50
multicluster,near,1.0,hnsw_recipe,hnsw,0.99,10.0,7.43,50
multicluster,near,10.0,planner_free,hnsw,0.99,10.0,7.62,50
multicluster,near,10.0,hnsw_recipe,hnsw,0.99,10.0,9.22,50
multicluster,far,0.1,planner_free,bitmap+sort,1.0,10.0,20.18,50
multicluster,far,0.1,hnsw_recipe,btree+sort,1.0,10.0,24.33,50
multicluster,far,1.0,planner_free,hnsw,0.94,10.0,700.88,50
multicluster,far,1.0,hnsw_recipe,hnsw,0.94,10.0,926.68,50
multicluster,far,10.0,planner_free,hnsw,0.974,10.0,347.22,50
multicluster,far,10.0,hnsw_recipe,hnsw,0.974,10.0,228.37,50
