build,pass,build_secs,cell,column,layout,arm,selectivity_pct,config,recall_mean,rows_returned_mean,p50_ms,p95_ms,n_queries
1,1,605.3,uniform/near/0.1%/recipe,bucket,uniform,near,0.1,recipe,1.0,10.0,211.03,339.08,100
1,1,605.3,correlated/far/1.0%/recipe,bucket_corr,correlated,far,1.0,recipe,0.0,0.0,897.13,1174.87,100
1,1,605.3,multicluster/far/1.0%/recipe,bucket_multi,multicluster,far,1.0,recipe,0.951,10.0,464.02,688.69,100
1,1,605.3,correlated/near/0.1%/recipe,bucket_corr,correlated,near,0.1,recipe,0.944,10.0,8.13,18.0,100
1,1,605.3,multicluster/near/0.1%/default,bucket_multi,multicluster,near,0.1,default,0.224,2.25,4.74,6.79,100
1,2,605.3,uniform/near/0.1%/recipe,bucket,uniform,near,0.1,recipe,1.0,10.0,167.37,259.15,100
1,2,605.3,correlated/far/1.0%/recipe,bucket_corr,correlated,far,1.0,recipe,0.0,0.0,772.93,964.29,100
1,2,605.3,multicluster/far/1.0%/recipe,bucket_multi,multicluster,far,1.0,recipe,0.951,10.0,429.97,794.92,100
1,2,605.3,correlated/near/0.1%/recipe,bucket_corr,correlated,near,0.1,recipe,0.944,10.0,8.02,15.44,100
1,2,605.3,multicluster/near/0.1%/default,bucket_multi,multicluster,near,0.1,default,0.224,2.25,4.33,5.5,100
2,1,529.1,uniform/near/0.1%/recipe,bucket,uniform,near,0.1,recipe,1.0,10.0,175.43,273.65,100
2,1,529.1,correlated/far/1.0%/recipe,bucket_corr,correlated,far,1.0,recipe,0.0,0.0,700.68,907.97,100
2,1,529.1,multicluster/far/1.0%/recipe,bucket_multi,multicluster,far,1.0,recipe,0.947,10.0,380.97,569.81,100
2,1,529.1,correlated/near/0.1%/recipe,bucket_corr,correlated,near,0.1,recipe,0.945,10.0,7.27,12.75,100
2,1,529.1,multicluster/near/0.1%/default,bucket_multi,multicluster,near,0.1,default,0.228,2.28,3.57,4.29,100
2,2,529.1,uniform/near/0.1%/recipe,bucket,uniform,near,0.1,recipe,1.0,10.0,171.91,263.23,100
2,2,529.1,correlated/far/1.0%/recipe,bucket_corr,correlated,far,1.0,recipe,0.0,0.0,688.46,806.63,100
2,2,529.1,multicluster/far/1.0%/recipe,bucket_multi,multicluster,far,1.0,recipe,0.947,10.0,383.81,530.07,100
2,2,529.1,correlated/near/0.1%/recipe,bucket_corr,correlated,near,0.1,recipe,0.945,10.0,6.85,11.76,100
2,2,529.1,multicluster/near/0.1%/default,bucket_multi,multicluster,near,0.1,default,0.228,2.28,3.55,4.23,100
3,1,481.6,uniform/near/0.1%/recipe,bucket,uniform,near,0.1,recipe,1.0,10.0,173.02,259.89,100
3,1,481.6,correlated/far/1.0%/recipe,bucket_corr,correlated,far,1.0,recipe,0.0,0.0,707.04,936.73,100
3,1,481.6,multicluster/far/1.0%/recipe,bucket_multi,multicluster,far,1.0,recipe,0.954,10.0,393.65,546.3,100
3,1,481.6,correlated/near/0.1%/recipe,bucket_corr,correlated,near,0.1,recipe,0.948,10.0,6.71,11.67,100
3,1,481.6,multicluster/near/0.1%/default,bucket_multi,multicluster,near,0.1,default,0.224,2.25,3.48,5.21,100
3,2,481.6,uniform/near/0.1%/recipe,bucket,uniform,near,0.1,recipe,1.0,10.0,179.44,269.93,100
3,2,481.6,correlated/far/1.0%/recipe,bucket_corr,correlated,far,1.0,recipe,0.0,0.0,694.76,888.58,100
3,2,481.6,multicluster/far/1.0%/recipe,bucket_multi,multicluster,far,1.0,recipe,0.954,10.0,384.42,571.35,100
3,2,481.6,correlated/near/0.1%/recipe,bucket_corr,correlated,near,0.1,recipe,0.948,10.0,6.7,11.39,100
3,2,481.6,multicluster/near/0.1%/default,bucket_multi,multicluster,near,0.1,default,0.224,2.25,3.46,4.64,100
4,1,461.6,uniform/near/0.1%/recipe,bucket,uniform,near,0.1,recipe,1.0,10.0,169.81,293.9,100
4,1,461.6,correlated/far/1.0%/recipe,bucket_corr,correlated,far,1.0,recipe,0.0,0.0,706.82,907.9,100
4,1,461.6,multicluster/far/1.0%/recipe,bucket_multi,multicluster,far,1.0,recipe,0.947,10.0,382.17,510.36,100
4,1,461.6,correlated/near/0.1%/recipe,bucket_corr,correlated,near,0.1,recipe,0.946,10.0,6.65,11.72,100
