column,layout,arm,selectivity_pct,config,recall_mean,rows_returned_mean,p50_ms,p95_ms,n_queries
bucket,uniform,near,1.0,default,0.051,0.51,6.03,10.73,100
bucket,uniform,near,1.0,recipe,0.995,10.0,37.99,94.52,100
bucket,uniform,near,0.1,default,0.003,0.03,3.96,4.77,100
bucket,uniform,near,0.1,recipe,1.0,10.0,191.35,296.54,100
bucket,uniform,far,1.0,default,0.028,0.28,8.65,17.53,100
bucket,uniform,far,1.0,recipe,0.999,10.0,80.14,255.27,100
bucket,uniform,far,0.1,default,0.002,0.02,8.28,20.53,100
bucket,uniform,far,0.1,recipe,0.999,10.0,480.22,1241.52,100
bucket_corr,correlated,near,1.0,default,0.913,9.84,15.03,64.17,100
bucket_corr,correlated,near,1.0,recipe,0.922,10.0,18.62,72.46,100
bucket_corr,correlated,near,0.1,default,0.462,4.72,35.35,129.69,100
bucket_corr,correlated,near,0.1,recipe,0.946,10.0,44.52,309.16,100
bucket_corr,correlated,far,1.0,default,0.0,0.0,30.36,140.88,100
bucket_corr,correlated,far,1.0,recipe,0.0,0.0,2650.74,6302.39,100
bucket_corr,correlated,far,0.1,default,0.0,0.0,20.56,74.99,100
bucket_corr,correlated,far,0.1,recipe,0.0,0.0,2790.43,7279.72,100
bucket_multi,multicluster,near,1.0,default,0.771,7.85,40.25,255.63,100
bucket_multi,multicluster,near,1.0,recipe,0.98,10.0,29.13,103.7,100
bucket_multi,multicluster,near,0.1,default,0.223,2.24,17.78,281.04,100
bucket_multi,multicluster,near,0.1,recipe,0.996,10.0,183.8,1139.79,100
bucket_multi,multicluster,far,1.0,default,0.0,0.0,118.27,688.41,100
bucket_multi,multicluster,far,1.0,recipe,0.959,10.0,1028.98,2064.78,100
bucket_multi,multicluster,far,0.1,default,0.0,0.0,15.51,49.35,100
bucket_multi,multicluster,far,0.1,recipe,0.685,9.28,1342.55,2015.77,100
