layout,selectivity_pct,subset_rows,plan,far_rows_returned_mean,n_queries
uniform,0.1,976,bitmap+sort,10.0,10
uniform,0.2,1914,hnsw,10.0,10
uniform,0.3,2915,hnsw,10.0,10
uniform,0.4,3927,hnsw,10.0,10
uniform,0.5,4980,hnsw,10.0,10
uniform,0.6,5990,hnsw,10.0,10
uniform,0.7,7022,hnsw,10.0,10
uniform,0.8,8030,hnsw,10.0,10
uniform,0.9,9001,hnsw,10.0,10
uniform,1.0,10010,hnsw,10.0,10
correlated,0.1,1000,bitmap+sort,10.0,10
correlated,0.2,2000,hnsw,0.0,10
correlated,0.3,3000,hnsw,0.0,10
correlated,0.4,4000,hnsw,0.0,10
correlated,0.5,5000,hnsw,0.0,10
correlated,0.6,6000,hnsw,0.0,10
correlated,0.7,7000,hnsw,0.0,10
correlated,0.8,8000,hnsw,0.0,10
correlated,0.9,9000,hnsw,0.0,10
correlated,1.0,10000,hnsw,0.0,10
multicluster,0.1,1004,bitmap+sort,10.0,10
multicluster,0.2,2004,hnsw,9.9,10
multicluster,0.3,3004,hnsw,10.0,10
multicluster,0.4,4003,hnsw,10.0,10
multicluster,0.5,5005,hnsw,10.0,10
multicluster,0.6,6003,hnsw,10.0,10
multicluster,0.7,7004,hnsw,10.0,10
multicluster,0.8,8004,hnsw,10.0,10
multicluster,0.9,9003,hnsw,10.0,10
multicluster,1.0,10005,hnsw,10.0,10
