layout,selectivity_pct,subset_rows,plan,far_rows_returned_mean,n_queries
uniform,0.1,976,bitmap+sort,10.0,10
uniform,0.2,1914,hnsw,10.0,10
uniform,0.3,2915,hnsw,10.0,10
uniform,0.4,3927,hnsw,10.0,10
uniform,0.5,4980,hnsw,10.0,10
uniform,0.6,5990,hnsw,10.0,10
uniform,0.7,7022,hnsw,10.0,10
uniform,0.8,8030,hnsw,10.0,10
uniform,0.9,9001,hnsw,10.0,10
uniform,1.0,10010,hnsw,10.0,10
uniform,1.1,10939,hnsw,10.0,10
uniform,1.2,11970,hnsw,10.0,10
uniform,1.3,12910,hnsw,10.0,10
uniform,1.4,13893,hnsw,10.0,10
uniform,1.5,14931,hnsw,10.0,10
correlated,0.1,1000,btree+sort,10.0,10
correlated,0.2,2000,btree+sort,10.0,10
correlated,0.3,3000,btree+sort,10.0,10
correlated,0.4,4000,btree+sort,10.0,10
correlated,0.5,5000,btree+sort,10.0,10
correlated,0.6,6000,btree+sort,10.0,10
correlated,0.7,7000,btree+sort,10.0,10
correlated,0.8,8000,btree+sort,10.0,10
correlated,0.9,9000,hnsw,0.0,10
correlated,1.0,10000,hnsw,0.0,10
correlated,1.1,11000,hnsw,0.0,10
correlated,1.2,12000,hnsw,0.0,10
correlated,1.3,13000,hnsw,0.0,10
correlated,1.4,14000,hnsw,0.0,10
correlated,1.5,15000,hnsw,0.0,10
multicluster,0.1,1004,bitmap+sort,10.0,10
multicluster,0.2,2004,hnsw,9.5,10
multicluster,0.3,3004,hnsw,9.8,10
multicluster,0.4,4003,hnsw,10.0,10
multicluster,0.5,5005,hnsw,10.0,10
multicluster,0.6,6003,hnsw,10.0,10
multicluster,0.7,7004,hnsw,10.0,10
multicluster,0.8,8004,hnsw,10.0,10
multicluster,0.9,9003,hnsw,10.0,10
multicluster,1.0,10005,hnsw,10.0,10
multicluster,1.1,11004,hnsw,10.0,10
multicluster,1.2,12003,hnsw,10.0,10
multicluster,1.3,13004,hnsw,10.0,10
multicluster,1.4,14005,hnsw,10.0,10
multicluster,1.5,15004,hnsw,10.0,10
