selectivity_pct,bucket_lt,max_scan_tuples,scan_mem_multiplier,iterative_scan,ef_search,recall_mean,rows_returned_mean,p50_ms,p95_ms,n_queries
0.1,1,100000,1,relaxed_order,40,0.868,10.0,98.2,143.25,100
0.1,1,100000,1,relaxed_order,100,0.873,10.0,95.59,124.32,100
0.1,1,100000,1,relaxed_order,200,0.876,10.0,98.23,135.91,100
0.1,1,100000,1,relaxed_order,400,0.881,10.0,100.39,138.86,100
0.1,1,100000,1,relaxed_order,1000,0.886,10.0,101.03,137.4,100
0.1,1,100000,2,relaxed_order,40,0.973,10.0,161.25,235.33,100
0.1,1,100000,2,relaxed_order,100,0.974,10.0,155.95,226.45,100
0.1,1,100000,2,relaxed_order,200,0.975,10.0,165.96,244.27,100
0.1,1,100000,2,relaxed_order,400,0.975,10.0,154.57,229.84,100
0.1,1,100000,2,relaxed_order,1000,0.977,10.0,165.26,237.69,100
0.1,1,100000,4,relaxed_order,40,0.998,10.0,216.74,362.18,100
0.1,1,100000,4,relaxed_order,100,0.999,10.0,215.75,319.69,100
0.1,1,100000,4,relaxed_order,200,0.999,10.0,215.47,313.16,100
0.1,1,100000,4,relaxed_order,400,0.999,10.0,220.42,342.0,100
0.1,1,100000,4,relaxed_order,1000,0.999,10.0,221.21,318.9,100
