selectivity_pct,bucket_lt,max_scan_tuples,scan_mem_multiplier,iterative_scan,ef_search,recall_mean,rows_returned_mean,p50_ms,p95_ms,n_queries
1.0,10,20000,1,relaxed_order,40,0.993,10.0,31.94,54.22,100
1.0,10,50000,1,relaxed_order,40,0.993,10.0,33.76,57.7,100
1.0,10,100000,1,relaxed_order,40,0.993,10.0,32.68,54.84,100
1.0,10,200000,1,relaxed_order,40,0.993,10.0,35.72,55.56,100
1.0,10,500000,1,relaxed_order,40,0.993,10.0,33.15,54.23,100
1.0,10,1000000,1,relaxed_order,40,0.993,10.0,34.63,67.58,100
1.0,10,20000,2,relaxed_order,40,0.993,10.0,35.96,62.29,100
1.0,10,50000,2,relaxed_order,40,0.993,10.0,34.29,56.46,100
1.0,10,100000,2,relaxed_order,40,0.993,10.0,34.78,55.9,100
1.0,10,200000,2,relaxed_order,40,0.993,10.0,34.07,58.37,100
1.0,10,500000,2,relaxed_order,40,0.993,10.0,35.7,62.17,100
1.0,10,1000000,2,relaxed_order,40,0.993,10.0,33.64,54.67,100
0.1,1,20000,1,relaxed_order,40,0.856,10.0,106.48,153.74,100
0.1,1,50000,1,relaxed_order,40,0.861,10.0,109.67,151.81,100
0.1,1,100000,1,relaxed_order,40,0.861,10.0,100.75,139.12,100
0.1,1,200000,1,relaxed_order,40,0.861,10.0,103.64,138.2,100
0.1,1,500000,1,relaxed_order,40,0.861,10.0,99.58,138.69,100
0.1,1,1000000,1,relaxed_order,40,0.861,10.0,100.17,136.13,100
0.1,1,20000,2,relaxed_order,40,0.856,10.0,95.91,120.59,100
0.1,1,50000,2,relaxed_order,40,0.97,10.0,181.27,276.15,100
0.1,1,100000,2,relaxed_order,40,0.97,10.0,167.6,228.24,100
0.1,1,200000,2,relaxed_order,40,0.97,10.0,182.34,239.96,100
0.1,1,500000,2,relaxed_order,40,0.97,10.0,181.8,252.52,100
0.1,1,1000000,2,relaxed_order,40,0.97,10.0,177.19,238.7,100
